code,description
W513,Choque o empellon contra otra persona: areas de deporte y atletismo
W514,Choque o empellon contra otra persona: calles y carreteras
W515,Choque o empellon contra otra persona: comercio y areas de servicio
W516,Choque o empellon contra otra persona: area industrial y de la construccion
W517,Choque o empellon contra otra persona: granja
W518,Choque o empellon contra otra persona: otro lugar especificado
W519,Choque o empellon contra otra persona: lugar no especificado
W520,"Persona aplastada, empujada o pisoteada por una multitud o estampida humana: vivienda"
W521,"Persona aplastada, empujada o pisoteada por una multitud o estampida humana: institucion residencial"
W522,"Persona aplastada, empujada o pisoteada por una multitud o estampida humana: escuelas, otras instituciones y areas administrativas publicas"
W523,"Persona aplastada, empujada o pisoteada por una multitud o estampida humana: areas de deporte y atletismo"
W524,"Persona aplastada, empujada o pisoteada por una multitud o estampida humana: calles y carreteras"
W525,"Persona aplastada, empujada o pisoteada por una multitud o estampida humana: comercio y areas de servicio"
W526,"Persona aplastada, empujada o pisoteada por una multitud o estampida humana: area industrial y de la construccion"
W527,"Persona aplastada, empujada o pisoteada por una multitud o estampida humana: granja"
W528,"Persona aplastada, empujada o pisoteada por una multitud o estampida humana: otro lugar especificado"
W529,"Persona aplastada, empujada o pisoteada por una multitud o estampida humana: lugar no especificado"
W530,Mordedura de rata: vivienda
W531,Mordedura de rata: institucion residencial
W532,"Mordedura de rata: escuelas, otras instituciones y areas administrativas publicas"
W533,Mordedura de rata: areas de deporte y atletismo
W534,Mordedura de rata: calles y carreteras
W535,Mordedura de rata: comercio y areas de servicio
W536,Mordedura de rata: area industrial y de la construccion
W537,Mordedura de rata: granja
W538,Mordedura de rata: otro lugar especificado
W539,Mordedura de rata: lugar no especificado
W540,Mordedura o ataque de perro: vivienda
W541,Mordedura o ataque de perro: institucion residencial
W542,"Mordedura o ataque de perro: escuelas, otras instituciones y areas administrativas publicas"
W543,Mordedura o ataque de perro: areas de deporte y atletismo
W544,Mordedura o ataque de perro: calles y carreteras
W545,Mordedura o ataque de perro: comercio y areas de servicio
W546,Mordedura o ataque de perro: area industrial y de la construccion
W547,Mordedura o ataque de perro: granja
W548,Mordedura o ataque de perro: otro lugar especificado
W549,Mordedura o ataque de perro: lugar no especificado
W550,Mordedura o ataque de otros mamiferos: vivienda
W551,Mordedura o ataque de otros mamiferos: institucion residencial
W552,"Mordedura o ataque de otros mamiferos: escuelas, otras instituciones y areas administrativas publicas"
W553,Mordedura o ataque de otros mamiferos: areas de deporte y atletismo
W554,Mordedura o ataque de otros mamiferos: calles y carreteras
W555,Mordedura o ataque de otros mamiferos: comercio y areas de servicio
W556,Mordedura o ataque de otros mamiferos: area industrial y de la construccion
W557,Mordedura o ataque de otros mamiferos: granja
W558,Mordedura o ataque de otros mamiferos: otro lugar especificado
W559,Mordedura o ataque de otros mamiferos: lugar no especificado
W560,Contacto traumatico con animales marinos: vivienda
W561,Contacto traumatico con animales marinos: institucion residencial
W562,"Contacto traumatico con animales marinos: escuelas, otras instituciones y areas administrativas publicas"
W563,Contacto traumatico con animales marinos: areas de deporte y atletismo
W564,Contacto traumatico con animales marinos: calles y carreteras
W565,Contacto traumatico con animales marinos: comercio y areas de servicio
W566,Contacto traumatico con animales marinos: area industrial y de la construccion
W567,Contacto traumatico con animales marinos: granja
W568,Contacto traumatico con animales marinos: otro lugar especificado
W569,Contacto traumatico con animales marinos: lugar no especificado
W570,Mordedura o picadura de insectos y otros artropodos no venenosos: vivienda
W571,Mordedura o picadura de insectos y otros artropodos no venenosos: institucion residencial
W572,"Mordedura o picadura de insectos y otros artropodos no venenosos: escuelas, otras instituciones y areas administrativas publicas"
W573,Mordedura o picadura de insectos y otros artropodos no venenosos: areas de deporte y atletismo
W574,Mordedura o picadura de insectos y otros artropodos no venenosos: calles y carreteras
W575,Mordedura o picadura de insectos y otros artropodos no venenosos: comercio y areas de servicio
W576,Mordedura o picadura de insectos y otros artropodos no venenosos: area industrial y de la construccion
W577,Mordedura o picadura de insectos y otros artropodos no venenosos: granja
W578,Mordedura o picadura de insectos y otros artropodos no venenosos: otro lugar especificado
W579,Mordedura o picadura de insectos y otros artropodos no venenosos: lugar no especificado
W580,Mordedura o ataque de cocodrilo o caiman: vivienda
W581,Mordedura o ataque de cocodrilo o caiman: institucion residencial
W582,"Mordedura o ataque de cocodrilo o caiman: escuelas, otras instituciones y areas administrativas publicas"
W583,Mordedura o ataque de cocodrilo o caiman: areas de deporte y atletismo
W584,Mordedura o ataque de cocodrilo o caiman: calles y carreteras
W585,Mordedura o ataque de cocodrilo o caiman: comercio y areas de servicio
W586,Mordedura o ataque de cocodrilo o caiman: area industrial y de la construccion
W587,Mordedura o ataque de cocodrilo o caiman: granja
W588,Mordedura o ataque de cocodrilo o caiman: otro lugar especificado
W589,Mordedura o ataque de cocodrilo o caiman: lugar no especificado
W590,Mordedura o aplastamiento por otros reptiles: vivienda
W591,Mordedura o aplastamiento por otros reptiles: institucion residencial
W592,"Mordedura o aplastamiento por otros reptiles: escuelas, otras instituciones y areas administrativas publicas"
W593,Mordedura o aplastamiento por otros reptiles: areas de deporte y atletismo
W594,Mordedura o aplastamiento por otros reptiles: calles y carreteras
W595,Mordedura o aplastamiento por otros reptiles: comercio y areas de servicio
W596,Mordedura o aplastamiento por otros reptiles: area industrial y de la construccion
W597,Mordedura o aplastamiento por otros reptiles: granja
W598,Mordedura o aplastamiento por otros reptiles: otro lugar especificado
W599,Mordedura o aplastamiento por otros reptiles: lugar no especificado
W600,"Contacto traumatico con aguijones, espinas u hojas cortantes de plantas: vivienda"
W601,"Contacto traumatico con aguijones, espinas u hojas cortantes de plantas: institucion residencial"
W602,"Contacto traumatico con aguijones, espinas u hojas cortantes de plantas: escuelas, otras instituciones y areas administrativas publicas"
W603,"Contacto traumatico con aguijones, espinas u hojas cortantes de plantas: areas de deporte y atletismo"
W604,"Contacto traumatico con aguijones, espinas u hojas cortantes de plantas: calles y carreteras"
W605,"Contacto traumatico con aguijones, espinas u hojas cortantes de plantas: comercio y areas de servicio"
W606,"Contacto traumatico con aguijones, espinas u hojas cortantes de plantas: area industrial y de la construccion"
W607,"Contacto traumatico con aguijones, espinas u hojas cortantes de plantas: granja"
W608,"Contacto traumatico con aguijones, espinas u hojas cortantes de plantas: otro lugar especificado"
W609,"Contacto traumatico con aguijones, espinas u hojas cortantes de plantas: lugar no especificado"
W640,"Exposicion a otras fuerzas mecanicas animadas, y las no especificadas: vivienda"
W641,"Exposicion a otras fuerzas mecanicas animadas, y las no especificadas: institucion residencial"
W642,"Exposicion a otras fuerzas mecanicas animadas, y las no especificadas: escuelas, otras instituciones y areas administrativas publicas"
W643,"Exposicion a otras fuerzas mecanicas animadas, y las no especificadas: areas de deporte y atletismo"
W644,"Exposicion a otras fuerzas mecanicas animadas, y las no especificadas: calles y carreteras"
W645,"Exposicion a otras fuerzas mecanicas animadas, y las no especificadas: comercio y areas de servicio"
W646,"Exposicion a otras fuerzas mecanicas animadas, y las no especificadas: area industrial y de la construccion"
W647,"Exposicion a otras fuerzas mecanicas animadas, y las no especificadas: granja"
W648,"Exposicion a otras fuerzas mecanicas animadas, y las no especificadas: otro lugar especificado"
W649,"Exposicion a otras fuerzas mecanicas animadas, y las no especificadas: lugar no especificado"
W650,Ahogamiento y sumersion mientras se esta en la bañera: vivienda
W651,Ahogamiento y sumersion mientras se esta en la bañera: institucion residencial
W652,"Ahogamiento y sumersion mientras se esta en la bañera: escuelas, otras instituciones y areas administrativas publicas"
W653,Ahogamiento y sumersion mientras se esta en la bañera: areas de deporte y atletismo
W654,Ahogamiento y sumersion mientras se esta en la bañera: calles y carreteras
W655,Ahogamiento y sumersion mientras se esta en la bañera: comercio y areas de servicio
W656,Ahogamiento y sumersion mientras se esta en la bañera: area industrial y de la construccion
W657,Ahogamiento y sumersion mientras se esta en la bañera: granja
W658,Ahogamiento y sumersion mientras se esta en la bañera: otro lugar especificado
W659,Ahogamiento y sumersion mientras se esta en la bañera: lugar no especificado
W660,Ahogamiento y sumersion consecutivos a caida en la bañera: vivienda
W661,Ahogamiento y sumersion consecutivos a caida en la bañera: institucion residencial
W662,"Ahogamiento y sumersion consecutivos a caida en la bañera: escuelas, otras instituciones y areas administrativas publicas"
W663,Ahogamiento y sumersion consecutivos a caida en la bañera: areas de deporte y atletismo
W664,Ahogamiento y sumersion consecutivos a caida en la bañera: calles y carreteras
W665,Ahogamiento y sumersion consecutivos a caida en la bañera: comercio y areas de servicio
W666,Ahogamiento y sumersion consecutivos a caida en la bañera: area industrial y de la construccion
W667,Ahogamiento y sumersion consecutivos a caida en la bañera: granja
W668,Ahogamiento y sumersion consecutivos a caida en la bañera: otro lugar especificado
W669,Ahogamiento y sumersion consecutivos a caida en la bañera: lugar no especificado
W670,Ahogamiento y sumersion mientras se esta en una piscina: vivienda
W671,Ahogamiento y sumersion mientras se esta en una piscina: institucion residencial
W672,"Ahogamiento y sumersion mientras se esta en una piscina: escuelas, otras instituciones y areas administrativas publicas"
W673,Ahogamiento y sumersion mientras se esta en una piscina: areas de deporte y atletismo
W674,Ahogamiento y sumersion mientras se esta en una piscina: calles y carreteras
W675,Ahogamiento y sumersion mientras se esta en una piscina: comercio y areas de servicio
W676,Ahogamiento y sumersion mientras se esta en una piscina: area industrial y de la construccion
W677,Ahogamiento y sumersion mientras se esta en una piscina: granja
W678,Ahogamiento y sumersion mientras se esta en una piscina: otro lugar especificado
W679,Ahogamiento y sumersion mientras se esta en una piscina: lugar no especificado
W680,Ahogamiento y sumersion consecutivos a caida en una piscina: vivienda
W681,Ahogamiento y sumersion consecutivos a caida en una piscina: institucion residencial
W682,"Ahogamiento y sumersion consecutivos a caida en una piscina: escuelas, otras instituciones y areas administrativas publicas"
W683,Ahogamiento y sumersion consecutivos a caida en una piscina: areas de deporte y atletismo
W684,Ahogamiento y sumersion consecutivos a caida en una piscina: calles y carreteras
W685,Ahogamiento y sumersion consecutivos a caida en una piscina: comercio y areas de servicio
W686,Ahogamiento y sumersion consecutivos a caida en una piscina: area industrial y de la construccion
W687,Ahogamiento y sumersion consecutivos a caida en una piscina: granja
W688,Ahogamiento y sumersion consecutivos a caida en una piscina: otro lugar especificado
W689,Ahogamiento y sumersion consecutivos a caida en una piscina: lugar no especificado
W690,Ahogamiento y sumersion mientras se esta en aguas naturales: vivienda
W691,Ahogamiento y sumersion mientras se esta en aguas naturales: institucion residencial
W692,"Ahogamiento y sumersion mientras se esta en aguas naturales: escuelas, otras instituciones y areas administrativas publicas"
W693,Ahogamiento y sumersion mientras se esta en aguas naturales: areas de deporte y atletismo
W694,Ahogamiento y sumersion mientras se esta en aguas naturales: calles y carreteras
W695,Ahogamiento y sumersion mientras se esta en aguas naturales: comercio y areas de servicio
W696,Ahogamiento y sumersion mientras se esta en aguas naturales: area industrial y de la construccion
W697,Ahogamiento y sumersion mientras se esta en aguas naturales: granja
W698,Ahogamiento y sumersion mientras se esta en aguas naturales: otro lugar especificado
W699,Ahogamiento y sumersion mientras se esta en aguas naturales: lugar no especificado
W700,Ahogamiento y sumersion posterior a caida en aguas naturales: vivienda
W701,Ahogamiento y sumersion posterior a caida en aguas naturales: institucion residencial
W702,"Ahogamiento y sumersion posterior a caida en aguas naturales: escuelas, otras instituciones y areas administrativas publicas"
W703,Ahogamiento y sumersion posterior a caida en aguas naturales: areas de deporte y atletismo
W704,Ahogamiento y sumersion posterior a caida en aguas naturales: calles y carreteras
W705,Ahogamiento y sumersion posterior a caida en aguas naturales: comercio y areas de servicio
W706,Ahogamiento y sumersion posterior a caida en aguas naturales: area industrial y de la construccion
W707,Ahogamiento y sumersion posterior a caida en aguas naturales: granja
W708,Ahogamiento y sumersion posterior a caida en aguas naturales: otro lugar especificado
W709,Ahogamiento y sumersion posterior a caida en aguas naturales: lugar no especificado
W730,Otros ahogamientos y sumersiones especificados: vivienda
W731,Otros ahogamientos y sumersiones especificados: institucion residencial
W732,"Otros ahogamientos y sumersiones especificados: escuelas, otras instituciones y areas administrativas publicas"
W733,Otros ahogamientos y sumersiones especificados: areas de deporte y atletismo
W734,Otros ahogamientos y sumersiones especificados: calles y carreteras
W735,Otros ahogamientos y sumersiones especificados: comercio y areas de servicio
W736,Otros ahogamientos y sumersiones especificados: area industrial y de la construccion
W737,Otros ahogamientos y sumersiones especificados: granja
W738,Otros ahogamientos y sumersiones especificados: otro lugar especificado
W739,Otros ahogamientos y sumersiones especificados: lugar no especificado
W740,Ahogamiento y sumersion no especificados: vivienda
W741,Ahogamiento y sumersion no especificados: institucion residencial
W742,"Ahogamiento y sumersion no especificados: escuelas, otras instituciones y areas administrativas publicas"
W743,Ahogamiento y sumersion no especificados: areas de deporte y atletismo
W744,Ahogamiento y sumersion no especificados: calles y carreteras
W745,Ahogamiento y sumersion no especificados: comercio y areas de servicio
W746,Ahogamiento y sumersion no especificados: area industrial y de la construccion
W747,Ahogamiento y sumersion no especificados: granja
W748,Ahogamiento y sumersion no especificados: otro lugar especificado
W749,Ahogamiento y sumersion no especificados: lugar no especificado
W750,Sofocacion y estrangulamiento accidental en la cama: vivienda
W751,Sofocacion y estrangulamiento accidental en la cama: institucion residencial
W752,"Sofocacion y estrangulamiento accidental en la cama: escuelas, otras instituciones y areas administrativas publicas"
W753,Sofocacion y estrangulamiento accidental en la cama: areas de deporte y atletismo
W754,Sofocacion y estrangulamiento accidental en la cama: calles y carreteras
W755,Sofocacion y estrangulamiento accidental en la cama: comercio y areas de servicio
W756,Sofocacion y estrangulamiento accidental en la cama: area industrial y de la construccion
W757,Sofocacion y estrangulamiento accidental en la cama: granja
W758,Sofocacion y estrangulamiento accidental en la cama: otro lugar especificado
W759,Sofocacion y estrangulamiento accidental en la cama: lugar no especificado
W760,Otros estrangulamientos y ahorcamientos accidentales: vivienda
W761,Otros estrangulamientos y ahorcamientos accidentales: institucion residencial
W762,"Otros estrangulamientos y ahorcamientos accidentales: escuelas, otras instituciones y areas administrativas publicas"
W763,Otros estrangulamientos y ahorcamientos accidentales: areas de deporte y atletismo
W764,Otros estrangulamientos y ahorcamientos accidentales: calles y carreteras
W765,Otros estrangulamientos y ahorcamientos accidentales: comercio y areas de servicio
W766,Otros estrangulamientos y ahorcamientos accidentales: area industrial y de la construccion
W767,Otros estrangulamientos y ahorcamientos accidentales: granja
W768,Otros estrangulamientos y ahorcamientos accidentales: otro lugar especificado
W769,Otros estrangulamientos y ahorcamientos accidentales: lugar no especificado
W770,"Obstruccion de la respiracion debida a hundimiento, caida de tierra u otras sustancias: vivienda"
W771,"Obstruccion de la respiracion debida a hundimiento, caida de tierra u otras sustancias: institucion residencial"
W772,"Obstruccion de la respiracion debida a hundimiento, caida de tierra u otras sustancias: escuelas, otras instituciones y areas administrativas publicas"
W773,"Obstruccion de la respiracion debida a hundimiento, caida de tierra u otras sustancias: areas de deporte y atletismo"
W774,"Obstruccion de la respiracion debida a hundimiento, caida de tierra u otras sustancias: calles y carreteras"
W775,"Obstruccion de la respiracion debida a hundimiento, caida de tierra u otras sustancias: comercio y areas de servicio"
W776,"Obstruccion de la respiracion debida a hundimiento, caida de tierra u otras sustancias: area industrial y de la construccion"
W777,"Obstruccion de la respiracion debida a hundimiento, caida de tierra u otras sustancias: granja"
W778,"Obstruccion de la respiracion debida a hundimiento, caida de tierra u otras sustancias: otro lugar especificado"
W779,"Obstruccion de la respiracion debida a hundimiento, caida de tierra u otras sustancias: lugar no especificado"
W780,Inhalacion de contenidos gastricos: vivienda
W781,Inhalacion de contenidos gastricos: institucion residencial
W782,"Inhalacion de contenidos gastricos: escuelas, otras instituciones y areas administrativas publicas"
W783,Inhalacion de contenidos gastricos: areas de deporte y atletismo
W784,Inhalacion de contenidos gastricos: calles y carreteras
W785,Inhalacion de contenidos gastricos: comercio y areas de servicio
W786,Inhalacion de contenidos gastricos: area industrial y de la construccion
W787,Inhalacion de contenidos gastricos: granja
W788,Inhalacion de contenidos gastricos: otro lugar especificado
W789,Inhalacion de contenidos gastricos: lugar no especificado
W790,Inhalacion e ingestion de alimento que causa obstruccion de las vias respiratorias: vivienda
W791,Inhalacion e ingestion de alimento que causa obstruccion de las vias respiratorias: institucion residencial
W792,"Inhalacion e ingestion de alimento que causa obstruccion de las vias respiratorias: escuelas, otras instituciones y areas administrativas publicas"
W793,Inhalacion e ingestion de alimento que causa obstruccion de las vias respiratorias: areas de deporte y atletismo
W794,Inhalacion e ingestion de alimento que causa obstruccion de las vias respiratorias: calles y carreteras
W795,Inhalacion e ingestion de alimento que causa obstruccion de las vias respiratorias: comercio y areas de servicio
W796,Inhalacion e ingestion de alimento que causa obstruccion de las vias respiratorias: area industrial y de la construccion
W797,Inhalacion e ingestion de alimento que causa obstruccion de las vias respiratorias: granja
W798,Inhalacion e ingestion de alimento que causa obstruccion de las vias respiratorias: otro lugar especificado
W799,Inhalacion e ingestion de alimento que causa obstruccion de las vias respiratorias: lugar no especificado
W800,Inhalacion e ingestion de otros objetos que causan obstruccion de las vias respiratorias: vivienda
W801,Inhalacion e ingestion de otros objetos que causan obstruccion de las vias respiratorias: institucion residencial
W802,"Inhalacion e ingestion de otros objetos que causan obstruccion de las vias respiratorias: escuelas, otras instituciones y areas administrativas publicas"
W803,Inhalacion e ingestion de otros objetos que causan obstruccion de las vias respiratorias: areas de deporte y atletismo
W804,Inhalacion e ingestion de otros objetos que causan obstruccion de las vias respiratorias: calles y carreteras
W805,Inhalacion e ingestion de otros objetos que causan obstruccion de las vias respiratorias: comercio y areas de servicio
W806,Inhalacion e ingestion de otros objetos que causan obstruccion de las vias respiratorias: area industrial y de la construccion
W807,Inhalacion e ingestion de otros objetos que causan obstruccion de las vias respiratorias: granja
W808,Inhalacion e ingestion de otros objetos que causan obstruccion de las vias respiratorias: otro lugar especificado
W809,Inhalacion e ingestion de otros objetos que causan obstruccion de las vias respiratorias: lugar no especificado
W810,Confinado o atrapado en un ambiente con bajo contenido de oxigeno: vivienda
W811,Confinado o atrapado en un ambiente con bajo contenido de oxigeno: institucion residencial
W812,"Confinado o atrapado en un ambiente con bajo contenido de oxigeno: escuelas, otras instituciones y areas administrativas publicas"
W813,Confinado o atrapado en un ambiente con bajo contenido de oxigeno: areas de deporte y atletismo
W814,Confinado o atrapado en un ambiente con bajo contenido de oxigeno: calles y carreteras
W815,Confinado o atrapado en un ambiente con bajo contenido de oxigeno: comercio y areas de servicio
W816,Confinado o atrapado en un ambiente con bajo contenido de oxigeno: area industrial y de la construccion
W817,Confinado o atrapado en un ambiente con bajo contenido de oxigeno: granja
W818,Confinado o atrapado en un ambiente con bajo contenido de oxigeno: otro lugar especificado
W819,Confinado o atrapado en un ambiente con bajo contenido de oxigeno: lugar no especificado
W830,Otras obstrucciones especificadas de la respiracion: vivienda
W831,Otras obstrucciones especificadas de la respiracion: institucion residencial
W832,"Otras obstrucciones especificadas de la respiracion: escuelas, otras instituciones y areas administrativas publicas"
W833,Otras obstrucciones especificadas de la respiracion: areas de deporte y atletismo
W834,Otras obstrucciones especificadas de la respiracion: calles y carreteras
W835,Otras obstrucciones especificadas de la respiracion: comercio y areas de servicio
W836,Otras obstrucciones especificadas de la respiracion: area industrial y de la construccion
W837,Otras obstrucciones especificadas de la respiracion: granja
W838,Otras obstrucciones especificadas de la respiracion: otro lugar especificado
W839,Otras obstrucciones especificadas de la respiracion: lugar no especificado
W840,Obstrucciones no especificada de la respiracion: vivienda
W841,Obstrucciones no especificada de la respiracion: institucion residencial
W842,"Obstrucciones no especificada de la respiracion: escuelas, otras instituciones y areas administrativas publicas"
W843,Obstrucciones no especificada de la respiracion: areas de deporte y atletismo
W844,Obstrucciones no especificada de la respiracion: calles y carreteras
W845,Obstrucciones no especificada de la respiracion: comercio y areas de servicio
W846,Obstrucciones no especificada de la respiracion: area industrial y de la construccion
W847,Obstrucciones no especificada de la respiracion: granja
W848,Obstrucciones no especificada de la respiracion: otro lugar especificado
W849,Obstrucciones no especificada de la respiracion: lugar no especificado
W850,Exposicion a lineas de transmision electrica: vivienda
W851,Exposicion a lineas de transmision electrica: institucion residencial
W852,"Exposicion a lineas de transmision electrica: escuelas, otras instituciones y areas administrativas publicas"
W853,Exposicion a lineas de transmision electrica: areas de deporte y atletismo
W854,Exposicion a lineas de transmision electrica: calles y carreteras
W855,Exposicion a lineas de transmision electrica: comercio y areas de servicio
W856,Exposicion a lineas de transmision electrica: area industrial y de la construccion
W857,Exposicion a lineas de transmision electrica: granja
W858,Exposicion a lineas de transmision electrica: otro lugar especificado
W859,Exposicion a lineas de transmision electrica: lugar no especificado
W860,Exposicion a otras corrientes electricas especificadas: vivienda
W861,Exposicion a otras corrientes electricas especificadas: institucion residencial
W862,"Exposicion a otras corrientes electricas especificadas: escuelas, otras instituciones y areas administrativas publicas"
W863,Exposicion a otras corrientes electricas especificadas: areas de deporte y atletismo
W864,Exposicion a otras corrientes electricas especificadas: calles y carreteras
W865,Exposicion a otras corrientes electricas especificadas: comercio y areas de servicio
W866,Exposicion a otras corrientes electricas especificadas: area industrial y de la construccion
W867,Exposicion a otras corrientes electricas especificadas: granja
W868,Exposicion a otras corrientes electricas especificadas: otro lugar especificado
W869,Exposicion a otras corrientes electricas especificadas: lugar no especificado
W870,Exposicion a corriente electrica no especificada: vivienda
W871,Exposicion a corriente electrica no especificada: institucion residencial
W872,"Exposicion a corriente electrica no especificada: escuelas, otras instituciones y areas administrativas publicas"
W873,Exposicion a corriente electrica no especificada: areas de deporte y atletismo
W874,Exposicion a corriente electrica no especificada: calles y carreteras
W875,Exposicion a corriente electrica no especificada: comercio y areas de servicio
W876,Exposicion a corriente electrica no especificada: area industrial y de la construccion
W877,Exposicion a corriente electrica no especificada: granja
W878,Exposicion a corriente electrica no especificada: otro lugar especificado
W879,Exposicion a corriente electrica no especificada: lugar no especificado
W880,Exposicion a radiacion ionizante: vivienda
W881,Exposicion a radiacion ionizante: institucion residencial
W882,"Exposicion a radiacion ionizante: escuelas, otras instituciones y areas administrativas publicas"
W883,Exposicion a radiacion ionizante: areas de deporte y atletismo
W884,Exposicion a radiacion ionizante: calles y carreteras
W885,Exposicion a radiacion ionizante: comercio y areas de servicio
W886,Exposicion a radiacion ionizante: area industrial y de la construccion
W887,Exposicion a radiacion ionizante: granja
W888,Exposicion a radiacion ionizante: otro lugar especificado
W889,Exposicion a radiacion ionizante: lugar no especificado
W890,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial: vivienda"
W891,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial: institucion residencial"
W892,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial: escuelas, otras instituciones y areas administrativas publicas"
W893,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial: areas de deporte y atletismo"
W894,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial: calles y carreteras"
W895,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial: comercio y areas de servicio"
W896,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial: area industrial y de la construccion"
W897,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial: granja"
W898,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial: otro lugar especificado"
W899,"Exposicion a fuente de luz visible y ultravioleta, de origen artificial: lugar no especificado"
W900,Exposicion a otros tipos de radiacion no ionizante: vivienda
W901,Exposicion a otros tipos de radiacion no ionizante: institucion residencial
W902,"Exposicion a otros tipos de radiacion no ionizante: escuelas, otras instituciones y areas administrativas publicas"
W903,Exposicion a otros tipos de radiacion no ionizante: areas de deporte y atletismo
W904,Exposicion a otros tipos de radiacion no ionizante: calles y carreteras
W905,Exposicion a otros tipos de radiacion no ionizante: comercio y areas de servicio
W906,Exposicion a otros tipos de radiacion no ionizante: area industrial y de la construccion
W907,Exposicion a otros tipos de radiacion no ionizante: granja
W908,Exposicion a otros tipos de radiacion no ionizante: otro lugar especificado
W909,Exposicion a otros tipos de radiacion no ionizante: lugar no especificado
W910,Exposicion a radiacion de tipo no especificado: vivienda
W911,Exposicion a radiacion de tipo no especificado: institucion residencial
W912,"Exposicion a radiacion de tipo no especificado: escuelas, otras instituciones y areas administrativas publicas"
W913,Exposicion a radiacion de tipo no especificado: areas de deporte y atletismo
W914,Exposicion a radiacion de tipo no especificado: calles y carreteras
W915,Exposicion a radiacion de tipo no especificado: comercio y areas de servicio
W916,Exposicion a radiacion de tipo no especificado: area industrial y de la construccion
W917,Exposicion a radiacion de tipo no especificado: granja
W918,Exposicion a radiacion de tipo no especificado: otro lugar especificado
W919,Exposicion a radiacion de tipo no especificado: lugar no especificado
W920,Exposicion a calor excesivo de origen artificial: vivienda
W921,Exposicion a calor excesivo de origen artificial: institucion residencial
W922,"Exposicion a calor excesivo de origen artificial: escuelas, otras instituciones y areas administrativas publicas"
W923,Exposicion a calor excesivo de origen artificial: areas de deporte y atletismo
W924,Exposicion a calor excesivo de origen artificial: calles y carreteras
W925,Exposicion a calor excesivo de origen artificial: comercio y areas de servicio
W926,Exposicion a calor excesivo de origen artificial: area industrial y de la construccion
W927,Exposicion a calor excesivo de origen artificial: granja
W928,Exposicion a calor excesivo de origen artificial: otro lugar especificado
W929,Exposicion a calor excesivo de origen artificial: lugar no especificado
W930,Exposicion a frio excesivo de origen artificial: vivienda
W931,Exposicion a frio excesivo de origen artificial: institucion residencial
W932,"Exposicion a frio excesivo de origen artificial: escuelas, otras instituciones y areas administrativas publicas"
W933,Exposicion a frio excesivo de origen artificial: areas de deporte y atletismo
W934,Exposicion a frio excesivo de origen artificial: calles y carreteras
W935,Exposicion a frio excesivo de origen artificial: comercio y areas de servicio
W936,Exposicion a frio excesivo de origen artificial: area industrial y de la construccion
W937,Exposicion a frio excesivo de origen artificial: granja
W938,Exposicion a frio excesivo de origen artificial: otro lugar especificado
W939,Exposicion a frio excesivo de origen artificial: lugar no especificado
W940,Exposicion a presion de aire alta y baja y a cambios en la presion del aire: vivienda
W941,Exposicion a presion de aire alta y baja y a cambios en la presion del aire: institucion residencial
W942,"Exposicion a presion de aire alta y baja y a cambios en la presion del aire: escuelas, otras instituciones y areas administrativas publicas"
W943,Exposicion a presion de aire alta y baja y a cambios en la presion del aire: areas de deporte y atletismo
W944,Exposicion a presion de aire alta y baja y a cambios en la presion del aire: calles y carreteras
W945,Exposicion a presion de aire alta y baja y a cambios en la presion del aire: comercio y areas de servicio
W946,Exposicion a presion de aire alta y baja y a cambios en la presion del aire: area industrial y de la construccion
W947,Exposicion a presion de aire alta y baja y a cambios en la presion del aire: granja
W948,Exposicion a presion de aire alta y baja y a cambios en la presion del aire: otro lugar especificado
W949,Exposicion a presion de aire alta y baja y a cambios en la presion del aire: lugar no especificado
W990,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial: vivienda"
W991,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial: institucion residencial"
W992,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial: escuelas, otras instituciones y areas administrativas publicas"
W993,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial: areas de deporte y atletismo"
W994,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial: calles y carreteras"
W995,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial: comercio y areas de servicio"
W996,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial: area industrial y de la construccion"
W997,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial: granja"
W998,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial: otro lugar especificado"
W999,"Exposicion a otros factores ambientales y a los no especificados, de origen artificial: lugar no especificado"
X000,Exposicion a fuego no controlado en edificio u otra construccion: vivienda
X001,Exposicion a fuego no controlado en edificio u otra construccion: institucion residencial
X002,"Exposicion a fuego no controlado en edificio u otra construccion: escuelas, otras instituciones y areas administrativas publicas"
X003,Exposicion a fuego no controlado en edificio u otra construccion: areas de deporte y atletismo
X004,Exposicion a fuego no controlado en edificio u otra construccion: calles y carreteras
